,0
49,@ceeels95 Awh what's the chances 😩 when u off to Zante? We need to do something :-( x
50,@s0ulfl0wr When's your birthday ? :(
51,@brittleyouth @Tom_J_Allen @AndrewFairbairn @batemanesque @Hegelbon @jameswheeler that was the worst part and I still feel bad about it :(
52,audraesar: All these sushi pics on my tl are driving me craaaazzyy :(
53,Really want this :( http://t.co/36tSy81iMi
54,Popped like a helium balloon..  :-(
55,#ClimateChange #CC California's powerful and influential air pollution watchdog.: Califor... http://t.co/OVU4p2qWfH #UniteBlue #Tcot :-(
56,@itsNotMirna I was so sad because Elhaida was robbed by the juries :( she came 10th in the televoting
57,#ClimateChange #CC Idaho will not restrict fishing despite regional drought-linked die-of... http://t.co/jJboDo6LYZ #UniteBlue #Tcot :-(
58,"#ClimateChange #CC Abrupt climate change may have doomed mammoths and other megafauna, sc... http://t.co/taVMCz37E7 #UniteBlue #Tcot :-("
59,#ClimateChange #CC Australia's 'dirtiest' power station considers 'clean energy' biomass ... http://t.co/YeQABq6tsL #UniteBlue #Tcot :-(
60,#ClimateChange #CC It ain't easy being green if you're a golf course in California.: Ulti... http://t.co/La82RXzTs2 #UniteBlue #Tcot :-(
61,@Mess0019 Well I am sure your work day is over before mine :(
62,@keikopotato IM GONNA MISS U SEXY PREXY :(((((((((
63,i miss my kindergarten kids :(
64,HUNGRY :-(
65,cant find the only book that keeps me sane :((
66,Literally there are three lounge events why :-( So much turn up I'm sad
67,@carliot23 Miss you Boss :(
68,I love hozier :-(
69,"@IzzyTailford that's true, I just want it soooooooner :("
70,Ahh Fam @MeekMill :( #RespectLost http://t.co/NT25MYnGYd
71,@shokako1104 I'm sorry :( ! What is hypercholesteloremia ? Are you ok ?
72,Baby still looks tired :(
73,Can someone gift me calibraska :(
74,@Rico_Shabbir the massive shame about it is we would actually be genuine contenders but it won't happen :(
75,My head always hurts if I stay up late lmao :(
76,@ErnestLozoya how are u older than me :(
77,Backed out :(
78,u sound upset :( https://t.co/JZBFBKld8Q
79,So much misses :-( https://t.co/pn2HvGdnFT
80,I MISS INFINITE :-(
81,@DiscoQing AoS doesn't do it for me but I don't want to stick with 8th either. :(
82,@madrigalandreaa its too much  serious yun eh :(
83,My room is way too hot :-(
84,I still havent found my Handsome Jack drawing :((((
85,@twcxmina shit :(
86,But cut encore :(((( #bad4thwin
87,I wish I had my own Baymax :(
88,Sick :(
89,@LittleMix French mixers miss you so much :( 💜
90,Wft.. can't watch the awesome replay!! :-( https://t.co/ChzrqtelPh
91,@Viiiiiiiiev what happened?? :(((
92,Party promotions are over :(
93,Music bank encore always so short :(
94,BABY BOY :((((
95,@flipkartsupport my order has been received at the hub nearest but doesn't look like it will be delivered today :( (1/2)
96,Why is my mum playing music out loud :(
97,The finale of Parasyte fucked my feelings alllllll the way up :(
98,i wish :( #ZaynIsComingBackOnJuly26
99,Good bye Party era :(
100,@amedefu Me  too。。。_:(´ω`」 ∠):_
101,@Concept_Nathan nathann💕 I never got a chance to take a pic with you :( got a hug tho! Pic next time I see you?😊
102,"some girl came up to me and was like ""you are so beautiful :-("" I want to dieididieieiei she's so cute"
103,Party goodbye stage :( but this means Hello to Lion Heart and You Think
104,@MsDanneh @Obey_Ervin15 Tell her to screw herself. I'm gonna have a netflix and chill on my own. Y u do dis ervin :(
105,@subharrie ohh no :(( and yeah i hope she comes back soon too
106,@MadniTahir I am. I've accepted the offer..but im desperate to take the year out.   :(
107,Come back :(
108,Snapchat me - AmargoLonnard #snapchat #snapchat #kikhorny #snapme #tagsforlikes #batalladelosgallos #webcamsex :( http://t.co/3S9LHaFrsU
109,UGH I CANT STREAM TMR I HAVE DUTY :(
110,@madrigalandreaa u've gone too far :(
111,@uhhAileeny What about her alien thing :(((
112,@Ni_All_Is_Bae aww I don't really wanna get my hopes up but I wish that he would :((
113,@malikm0ney sorka no :((
114,@fxnno_ i knew u would be sad :( were having a funeral i was gonna text u but i have no phone
115,Sunny :( i feel so bad.... http://t.co/17tca0uhKp
116,So nonexistent wowza :(
117,@izgzb @aishahyussofff back off fah she's mine :-(
118,@DIMPLEDJAI taylor why did you crop yourself out :(((((((((((((((
119,@nickjdrake Boo on both counts :-(
120,new guitar :(
121,@PinkCloud_RP so when will i get my jonghyun hyung? :( please predict it :(
122,I hope SJ will be nominated soon but no SJ vs INFINITE pls :(((((
123,"Yeah dudes, keep calm and brace yourselves :-( https://t.co/ZnOjT3v9Gq"
124,@Mr_FRML sir plus 4 please :((
125,THEY LOOKED SO SHOCK OMGGGG :((( YALL DESERVE IT :((((
126,Whenever I would spend the night we would smoke and watch a movie but he would always end up falling asleep on me :(
127,We were 1 point close to grand finals! :( whyyy
128,@muhammadskates :( that's a long time
129,"@evanquick Oh, that must be so annoying Evan :( Do the texts give the option to opt out?"
130,Who's doing giveaways for muster goods? :( or any merchs
131,@wendyykid ah too bad :(
132,People are looking at me funny because I'm drinking savanna with a straw :(
133,Good bye stage :((((
134,@ameliahartin AND WHY DID YOU IGNORE ME YESTER AFTERNOON :(
135,I can't sleep :( someone talk to me
136,yeah :(
137,@_Birexus yes sadly :(.
138,@ClaireClaire05 Very :(
139,@The_Strypes whens the album coming? :(
140,The last of my chocolate has been consumed. :(
141,ugh i have werk in the morning too :-(
142,@Deedee_50Fly foreals :( a wesen uwesiti mj 😂😩
143,@crazynovely I will if I catch him online long enough - haha!  He's being very annoying!!  :(
144,Bosen :(
145,Dying for some egg benny :(
146,@Michael5SOS Sometimes I hate you :((
147,@Mark23Baracael baby followback huhu :(
148,@fkluca but no ones as cute as u so :(
149,@Tinkkza You're gonna watch this shit and understand how badly you scared me! &gt;:( https://t.co/YcGudITQgx
150,"I miss Al, Katie, Zaz and Amy a lot :(("
151,I liked a @YouTube video http://t.co/2JcBiswDW9 More subs plz :(
152,@LittleMix @SonyMusicNL Can u make a diary while you're all there please :((
153,@neikmat Sorry :(
154,@twyodor @gkjohn :-( I don't read most of these rehash websites that have mushroomed. A good piece may be by exception &amp; reaches one anyway.
155,@daddyksoo and yes its been a while vicky omg :-(((((
156,"@megsyfoxie WTF LIKE YOUR LIPS STILL A VIRGIN OMG MOM GET A LIFE YOURE 45 

Hahah : ("
157,@pastelwolfxx @CHA_NNNNN niNASTY tsktsk oppa wont like u call his dick kawaii he is manly &gt;:( http://t.co/83cUgt7qQ3
158,So Lonely :( http://t.co/VM4N0n8Bkw
159,can't go back to sleep :((
160,i wanna go on xbox for netflix but am already too comfy in bed :(
161,@baileymac02 miss youu :(
162,sigh i feel bad for our girls :(
163,@oH_So_EhmTee lol! I love sweet potato fries :(
164,@_Birexus guess y'all ugly asf HUH :(
165,@Dsitando eish ive been quit i know...i lost my twitter mojo shame...n i dont know how to get it back :( mara im sure you can help me neh
166,aww i've got a fever :( but #bad4thwin &lt;3
167,Poor bb :(
168,@UrsulaWJ @OwenWinterMYP I'm not able to go! :( It's the Association of Green Councillors conference this weekend...
169,My skype account is out of order. I think it's been hacked. So if you were in my contacts I'm sorry :( I'm creating a new one soon.
170,@selenagomez i miss your tweet spree oh :(
171,"Yes na! As sholong reject my proposal :( ""@elzzika: Gee U don fly go gidi? ""@Gatlinho: The way i'm being pampered in this lagos ehn...."""""
172,@isxbe i guess im arresting my girlfriend :((
173,@prophdog_ @attepate hes such a nice person idk why anybody would say that to him :(
174,You know when a song just disappears from your phone and iTunes? I've lost Dazed and Confused :(
175,FEVER. :-(
176,"""Do you think they survived???""
""Well, they did find all the missing bodies in fragments, so no. But it would've been nice if they did."" :("
177,@DareToAttar im being forced to go :-(
178,Horrible weather to be going to work in :(
179,@okayshesaid wish that both of us could change this :(
180,walao kbs never show encore :(
181,Sending. Finally!!!!!!!!!!!!!! :(
182,Being ill is the worst :(((
183,its not the same. :(((((
184,"Hope #DJDerek is found safe &amp; well had many fun times at his gigs, absolute legend :("
185,@qtbatooty_ yeah and it's like why do you need to wait till saturday to give us homework pa :((((((( WHAT IF U MADE PLANS 4 DA WEEKEND????
186,Greek Tragedy is such a cute song :((((
187,@bammyxoxo @stffnkthx @breeyanuh16 same :(
188,"Raining on me today :( 

Gym it is then 💪🏻🐒"
189,@cutelilawley whats wrong? :(
190,Oh god!!! I'm strucked by the pain... Cant take it anymore!!! :(
191,@LittleMix come to Belgium :(
192,"Fabian Delph has fallen :(
@BLUEARMY_IND @MCFC"
193,@rosicky1987 WHERE U BEEN HIDING BABY :((
194,I'm draking silently so they can't hear it :(
195,Rest in peace mo :(
196,@MHSScho not much chance of game tonight :( #t20blast
197,@OL_EYY ahhh u see? U wouldn't wake up :(
198,Mumma! Im on 7% :( @LMCDark_Angel
199,@sarahhardman8 I hope so :(
200,I'm gonna be dead tomorrow :(:
201,@_Dedox :( I'll do high you do low
202,@hanbined sad pray for me :(((
203,@BritishSignBSL how very appropriate! :(
204,@RedsOrDead poor him. . . :(
205,I'm still awake :(
206,woke upp now i cant sleep :(
207,No one is up to help me :(
208,@curlsharryxoxo i don't know :(( just be happy for him :(
209,"@blvsamx hi, can you do me some dms with luke please ?:("
210,@KanchuDarling @VidyutJammwal hey babe i just came across this pic..what is this about? I cant read hindi :(
211,their reactions :(((((
212,@junghoseoks 5s :( i think it's bc im running out of space tbh
213,@rustyrockets I wish I could come and see you but on Disability pension with PTSD makes it impossible both physically and financially :(
214,Why does it have to rain :(
215,@Foooer_Hungary @FoooerSG nooo why they broke up!!! They were soo amazing togheter!! :(
216,@MystikGunn suck for me which mean I have to watch you play it around 1 p.m. my time :(
217,Don't be like that :(  https://t.co/gaWf0bsr6A
218,@derekklahn You cant hold another week? September 21st. :-((
219,why they cut the encore i wanna see snsd infinite interaction :(
220,i miss watching anna akana videos :(
221,@tokyato askip t'existes pas :(
222,"@9_Moore Sadly not :( - the channel owner decides which regions it broadcasts to. Thanks, Kei. Please rate our se... https://t.co/EzfeHMTT5S"
223,i dont think @camerondallas  or @JackAndJackReal  will ever notice me :( I STILL EXIST
224,The traffic is terrible :(
225,@joaannelopez I've been eyeing on a small kate spade bag too! Pero walang maganda :(
226,"@mermaid_bl00d haha aw, I miss you too! Haven't seen you for agessss :((("
227,@energybiebers Sigh... :(
228,Add me on Snapchat - CorineHurleigh #snapchat #snapchatme #instagram #addmeonsnapchat #sfs #quote #kiksexting :( http://t.co/8bk7ptaqaR
229,I have no bum in Zara trousers :(
230,All these sushi pics on my tl are driving me craaaazzyy :(
231,My after effects not spanish :(
232,Aww the poor thing :( Hope it'okay and in good health. luckely it has been freed from those Rocks #orcalove https://t.co/tOSZMOafv6
233,@Techverse_in first i tried this http://t.co/XTSzpi9fQW but no result :(
234,I want my braces back! :(
235,I need a big cuddle from Lew and kisses on my face :(((( I don't want to go through this again
236,@xcrazy90skidx @kowtsnatinito @_patnicolexx ems haha :(
237,Craving for Banana Crumble McFlurry and Fries :(
238,We're not going on the cable cars now because my brother got scared and doesn't want to :(((
239,i miss hello venus's old concepts tbh i rly like do you want some tea :(
240,tagal :(
241,We've lost in album and broadcast points :( http://t.co/QDSVS5Q9SR
242,"i have this awful appointment tomorrow and i'd like to feel OK going in to it, since I won't be after it &gt;:("
243,This sucks I want to go home :(
244,There's no milk left for my cereal :(
245,@shahrukh9899 @IamMansoorKhan Huh :( yes
246,we lost at the album and broadcast :((((
247,So sad :( http://t.co/fVV9Y3WX2o via @EvokeToday
248,Everything and all :(
249,@RealLiamPaynePH follow me :((
250,"@sainsburys yeah, I tried to film the date at the start. At the time of filming it had 4 days left.  :("
251,"@namwngr no, because you will get more than one and i think its not the same from the previous one :("
252,I can't smile :(
253,I'm following 73 users who aren't following me back.  :(
254,when will got7 : (
255,@craigyboi seems to be everywhere today :(
256,@OliviaKaparang @BTS_twt for the fansign and take photo is more expensive :(
257,Zzzzzz.....please don't let the sun come up yet.... :(
258,"When your bff's extremely stressed and you can't do anything but pray... 

:("
259,ahh no win for the goodbye stage :(
260,"@st3cav @MCFC @sterling31 @YayaToure True, deosn't help that Liverpool were here last week, most have never been to Pool though :("
261,@ArunbuddyAP yes bro..lost many too :(
262,@JindalDaily praying for you all. So sorry this happened : (
263,"@jackshilling Great news, thanks for letting us know :( We hope you have a good weekend!"
264,@peachyIauren it's so fucked :(
265,@LocoTaii - My self esteem was on the lowest :(
266,"@RyanBitchTits they feel and look better where people can't see tbh
They look so tacky :(("
267,@fabssulli taken say :(
268,@ASVPxGABE man all I got is lucky charms :((((
269,"#Haaretz #Israel :-( Syria continues to develop chemical weapons, officials tell WSJ: WSJ rep... http://t.co/3c5PRCHKqw #UniteBlue #Tcot"
270,i want all these bts merchs :(((
271,Only one more day :(
272,Should have taken a pic before mrs wong confiscated my art work :(
273,#Bad4thWin you guys omg :((((((
274,@mustntgrumble I hadn't thought of an icepack. Big doses of pain killers on board. But it is feeling very very painful already :( *whimpers*
275,it's okay :(
276,@ABeezyGMT says the Man U fan :(
277,@BIBBYUPDATES :(( I wish I could be there to say a final goodbye to them
278,@_awkwardraven Will do Senpai &gt;:( -looks up on all of buttsex-
279,.@sabal_abla @tanha_messiah But I was joking on the headline. So aren't we friends? :( Pls dn't brk my heart. :'(
280,"When someone hits a head voice and I'm like ""I would sound amazing if I could do that too."" But no... I can only do falsettos :("
281,@Patrickcf26 NOTICE ME :(((
282,@versacelopez I hate our time zone :(
283,MY snapchat - LeanneRiner19 #snapchat #hornykik #loveofmylife #dmme #pussy #newmusic #sexo :( http://t.co/TyhwG534Ng
284,@DominionSyfy when will S2 be aired in Spain?? The delay is killing us... :(
285,@TheOnion @ChoKyungHoon82 not a single untruth here :(
286,My last cross country in IJ was amazing!!!!!!!💥✨💫 Can't bear to leave :-( https://t.co/VkVOxIaEQn
287,@_lizzy_kay I can't drive so :(
288,when I have my own little apartment can like someone come live with me :-(
289,soshi didnt win :(( buttt congrats infinite!! #bad4thwin
290,@rickygervais I'm working Saturday and Sunday so Friday is a bad day for me :(:(
291,going home soon :(
292,I shoulda moved away w my boys when I had the chance cause they're the only people I want at times like this :(
293,Heyyyyy i wanted to see yeols solo danceeeeee :((((((((((((((
294,Inter offer Nemanja Vidic to Roma...but they don't want him either :( http://t.co/Ksdgy0lTpF http://t.co/FplKjpXNQN
295,My mom's a linguist. My dad's a computer scientist. And I am the dumbest one in the family :-(
296,@GizmodoUK broken for me :( I really wanted my morning ice cream in the pouring rain... http://t.co/y9waxvQKpg
297,@hankgreen would you ever consider creating crash course videos about computer science? There aren't many resources at my school :(
298,@Uber all ice cream vehicles are busy :(
299,ate ayex what do you eat? youre sexy :((( — I swear I eat a lot. No chill lamon haha http://t.co/CfOxw5wljZ
300,"This weather has me scrolling through my contacts of people I've curved on some ""hey you 😉"" sigh* :("
301,so i'll be getting my cement cast tomorrow :(
302,Shit 10.3k???? :(((((
303,*sign out* :(((((( https://t.co/y45q9GAJ5j
304,@zaynmalik zayn :((
305,"(bot) If you follow me, plz send to me mention. Because I can't notice :("
306,these JMU camps are such a tease bc I just wanna be here now :(
307,"@mizznhee that's one of the sweetest things I've ever said, awuna mbulelo :("
308,This fucking bad link isn't working and I can't watch the match! :(
309,"Oh no Mr I Pigs not turning on :( although there's a weird crackling noise when I plug him in coming from the plug ,I'm thinking fuse?"
310,@TitusOReily dammit I tipped Carlton :( #AFLBluesHawks
311,@baileymac02 miss you :(
312,@jiministic go to bed :(
313,Am want to go Alex's house :(
314,@MotorsportCntrl @GP2_Official so true! This was part of a motorsport series (all on one disc) :(
315,"All I want right now is the A, followed by the D and a cheeky J after that

Instead I've got some SEO and some NLs to be getting on with :("
316,@BOYBANDSFTCARA sure!!! Sorry :( x
317,@talkingsimpsons hey bud! Christy is really sick so I can't leave these 2 at home :( xo thanks man
318,My niece is having a better summer then me :(
319,I just wanted a bloody sandwhich :(
320,@Whorgeee :( it is
321,Buset :( https://t.co/hQ4y4FKniZ
322,#Discrimination :-( Five things we learned about pregnancy discrimination today | Left Foot F... http://t.co/Ey9MmaSmsd #UniteBlue #Tcot
323,"#Discrimination :-( Maternity discrimination: When I needed my boss, he kicked me in teeth - ... http://t.co/2WT4YyMNWz #UniteBlue #Tcot"
324,#DomesticViolence :( Proposed New Law Will Help Domestic Violence Victims - 98FM: Victims ... http://t.co/eoISmrzLpo #UniteBlue #VAW :-(
325,@nnoonlight i missed you :( it was okay. lol. I did nothing. 😂
326,@hamzaabasiali exactly but unfortunately :(
327,"Such a stressful and upsetting day yesterday, the UK government sucks :("
328,"Ugh, well I could still say that I'm lucky because I am Sapiosexual. :(((("
329,Aww too bad :(
330,Ive been trying to play the damn beta for like 12 hours now :(
331,I don't want to be in a world where Hulk Hogan has been scrubbed from WWE history :-(
332,im so tired! :(
333,This weather isn't making me want to go to the gym at all..... :-(
334,@katjturgoose @artsjobs Link doesn't work! :(
335,Irene seemed so sad after making that mistake :(
336,"@ItssssKelseyyyy Naa unfortunately, I didn't have my phone on me :("
337,@bmthofficial ITS SOLD OUT :((((((((((((((((((((((((((((((((((((((((((((((((((((((((((
338,i hate u &gt;.&lt; &gt;:( #H_My_King
339,we lose again :(
340,"Valentine et al found r'ships btwn homo/biphobic comments &amp; certain disciplines - incl. European langs, lit, education :( #fresherstofinals"
341,when will you notice me :( i'm so hopeless 💔 @SeaveyDaniel
342,my dreams are gettin too realistic for my liking thx !!! cant tell whats real n what isnt :((((
343,@SidebySide either or but would prefer Benzema! We won't get any though :(
344,@dontvexmysoul hahahahahaah i donno korean language :( only few russian ) waaaaa
345,@Grofers what about me? :( #EidWithGrofers
346,Someone talk to me I'm boreddd :(
347,"don't you just hate it when you get called a mug 
pisses me off &gt;:("
348,"""@MgaPinoyPatama: I miss you, but I know you don’t care."" :(("
349,"@alexmcgraaa no I can't do it, don't have the option on my phone :("
350,"@CelestialSinn I love Tiddler, but that was really silly :( but at least we’ll be getting real new cards in like 1 hour.."
351,:( well this sucks
352,Infinite win :(
353,@SBS_MTV Are you sure that Chorong is the leader? #에이핑크 #더쇼 I can't be sure anymore :(
354,@ClashWithCam when will the clan slots be open :((
355,Pffff doing a private @Bugcrowd #bugbounty and only finding self-XSS and host header poisoning :( Need some code execution #ktksbye
356,When your connect leaves a company and they don't alert you :(
357,.@uberuk you cancelled my ice cream uber order. Everyone else in the office got it but me. :(
358,"@Nebula2592 ahahah i consider it petite, i have a love hate relationship with my height :("
359,@therp_stefan @Therp_BV will cost you 600 k£ to get security alerts on odoo 8 if you are an Odoo partner. Far from community spirit. :-(
360,jgh :( im so effin tired
361,"facebook, y u no work ? y u do this facebook ? :("
362,No ones up :((
363,@TheNameIsJase No unfortunately :( Sorry!
364,Anyone else's show box not working?!?!?:(:(:(:(:(
365,AP won't be the same anymore :-(
366,@llymlrs story of my life...!! Love London and can't imagine living elsewhere but it's gonna have to happen someday :( I have NO space!
367,"@benrwms Oh no Ben :-( That is terrible, please provide us with the name of the branch you visited. We would like to address your concern."
368,Poor guy :( http://t.co/aSq9NN4AXR
369,"@elninakauser I feel your pain, It's like the Welsh Pod all over again  :("
370,@buterasfredo i can't wait for the movie to come out :(
371,"@littlejules14 Hi Julie, I'm sorry you feel this way :( Whats happened? ^Laura"
372,@maknaekookie i cant :-( im still inside the train station waiting for the person ;_; home is another hour away D;
373,@vegemitegrier not anymore :(
374,"@wendykims @Joix05 @GiladMillo some people need not to talk-kama hawako around :( :( 
Waa Kimaaaaaani prisssss!"
375,Baggage claim. The final goodbye to all your new plane friends :(
376,i miss niamh i havent seen her in forever :(
377,Yeah I screwed up again :-( and this time I thought I did something good good
378,@lifeboatsupport I have! :(
379,"@CherylWalmsley hmmm, they always have so much sugar in them, I rarely make them. Sorry I couldn't help. :("
380,I literally have no time to watch paper towns :((
381,@donhutch4 what's the score don I'm stuck at work :(
382,Agh @UPCIreland keeps cutting out in the middle of #undercoverboss :-(
383,@CMPunk @MattJackson13  please please come back to wwe :( تكفى
384,@cosplayamerica I'll be there around 10. My train was delayed. :(
385,Having a full time job means you only gonna have part time fun :(
386,My cats have forgotten who I am and they hate me :(
387,@vaxwell I know it's long and I played for 15 hours. :(
388,@NewBreed_Next u already have most of them :(
389,@Kryaotic117 @TritanArmyv2 @MoreConsole yep again :(
390,WHY MUST THE VIDEO STOP THO :(
391,wisdom teeth giving me so much ache :((
392,Y is no one up :-(
393,my wrists feel so naked bc i forgot my watch &amp; bracelet :((
394,@diamaziing Did you ligo na? :(
395,The Day A Dozen Parents And Children Killed A Baby Shark For A Selfie :(  https://t.co/S8cq6c91ni
396,So this is Heartache? :(
397,I don't think so :( #zayniscomingback
398,little mix are coming to sweden tomorrow and i can't see them :-( im sad
399,"my heart is breathing for this moment in time, i'll find the words to say before you leave me today :("
400,Elmhurst FC are over  :-( I'll always be  #ETID
401,Miss chillin'with you :( @PrincessReeev
402,"Forget to my Job. 
I'm sorry my father. :("
403,"@Scruffbucket IsTanya going2supply all d EXTRA infrastructure,teachers,doctors,nurses,paramedics&amp;other countless things2cope with it all?&gt;:("
404,I liked a @YouTube video http://t.co/93Z6WOVOs9 PASHA IS CRYING AFTER TERRIBLE DONATE :(
405,i'm so bored!!! pleas can 1 Arianator talk to me? :(
406,@Hydrojeon lmao hahahaha slr jgh from school :((
407,My live streaming sucks or is it just me :(
408,Kendall and Kylie are killing me on Kylie's snapchat :(((((
409,@MaayanGean absolute world to me I was so close to seeing him but he did not show up in manila :( i cried so fucking hard that time
410,"@jmcefalas Jeebus. Reabsorbtion of tooth, abscess, threatening to affect my lovely front crown :( and OOOOOOOOUCH!!!"
411,oh barney :((
412,Awh why :( were nice  https://t.co/5zAwc5Z37J
413,"Sometimes it be's like that, yo. Follow someone and then a few days later realise they're problematic as fuck. Life :("
414,THEY DIDNT EXPECT THAT OMG THEIR FACES :((((( IM SO PROUD OF YOU INFINITE
415,This day is such a mess! :(
416,I miss you maa :( why didn't you ever tell me its going to be like this without you?
417,Help me :(
418,@TheHinduTheatre @evam_entd Why no Bangalore? :(
419,"@NotRedbutBlue awww :(
at least u never got called luis manzano tho"
420,@bebeshaaa thanks shaaaa! Miss u super :(
421,WE DIDN'T GET THE 7TH WIN :(
422,Meeting with the convener at 2:30pm :( not looking forward to it!
423,@tweetseamus how was the party last night? Shame I couldn't go :( would of been lovely to have seen you again x
424,@SynergyFlying No!!! Why did you delete me?:(
425,"#TURKEY ARE NOW #BOMBING #ISIS IN #SYRIA,AND ALLOW THE #USA TO USE ONE OF IT #AIRFIELDS FOR THEIR #JETS :()"
426,"I want Jack's follow so bad, but I don't want to be annoying by spamming him :( sooo @jackgilinsky follow me please? ☺💜"
427,mommy's in manila and I've only seen her once :(
428,"The reason why I'm always, always overweight... sigeg habhab :( masud pa kaha kos akong un… http://t.co/RZ52EUtzMD http://t.co/Nvx057PFZp"
429,@samayanyan yes thank u!! Oh damn that hella sucks :-( but at least u had a really good time that's all that matters
430,@mollehgarcia no pala omg hahaha i have driving lessons :(
431,aW i wanna go and see dolphins again :( so cute xxx http://t.co/RJBAFfSMbh
432,@brighteyedmgc hoLY FUCK are u okay / text me if u need anythin !!! :-(
433,@xband__loverx I miss you :(
434,"#ZaynIsComingBackOnJuly26
I See this trend an in radio the next sing is See you again...:("
435,Beware: agonising thought experiment ahead :( https://t.co/B8Ttz1wbkG
436,"Last time I was here, was a funeral and a again funeral. Modimo ho tseba wena fela. :( — feeling emotional at... http://t.co/mQYsswdot7"
437,what's wrong with me :(
438,@lh_JM88 and now me too :( hubby will be delighted to return home lol
439,SO SAD FOR THE GIRLS OH WHY DIDN'T THEY WIN :((((
440,"@burloutray4 I want something new too, damn you bills!! :("
441,@someboysjumper @apriloumay Nowt worse than a sad looking willy :(
442,@Tonynamly sad moment when you gon vomit all this out :(
443,or a famous bowl :(
444,She's so cute :( http://t.co/5gRpttMX8k
445,Devastating to find out last night that Titan AE was never actually any good :-( http://t.co/zzwd8HDcOI
446,@Mark23Baracael mark followback :(
447,@Latoyasilmon omg...you're so beautiful... miss you soooooooo much...: (
448,@itstishh miss you so much :( xxxxxx
449,i used to have such nice hair :(( look at it it's all shiny and long and wavy im emo http://t.co/qX7XO8x5Zq
450,@LittleMix have fun in Germany :( I can't be there 😭
451,I was about to make tea but load shedding was like Ha.a bheyps not now ! Ayemso Hacked :(((( http://t.co/ZudfTknvCM
452,my left ear is swelling :(
453,read sm quotes on fb which remind me abt sm 1 and am missing him so much now :(
454,everyone is going to womad but me :(
455,wut the hell i can't sleep &gt;:(
456,@CorCor84 It is a vicious circle isn't it :(  x
457,@eydiespi there is no surprise :(
458,Win tickets to Cody Simpson concert in Singapore on August 10! http://t.co/6t9XKgtwTm #SpinorBinMusicXCodySimpson pls pls :(
459,@joyce_gleek Sorry poooo. :(
460,Sorry na bh3s :( @alrakakire
461,Project I want to enter into #PitchWars may not work. :( Only first chap? Mine's a phone call transcript. #ugh
